gene	com_341	com_738	com_862	com_876	com_900	com_908	com_947	com_962	com_JB	Level1	Level2	Level3	KO	Product	EC	EC2	EC3	Full
catE	1	0	0	1	1	1	1	1	1	Metabolism	Xenobiotics biodegration and metabolism	Xylene degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	0	0	1	1	1	1	1	1	Metabolism	Xenobiotics biodegration and metabolism	Benzoate degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	1	Metabolism	Xenobiotics biodegration and metabolism	Styrene degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	1	Metabolism	Xenobiotics biodegration and metabolism	Chlorocyclohexane and chlorobenzene  degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	1	Metabolism	Xenobiotics biodegration and metabolism	Xylene degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	1	Metabolism	Xenobiotics biodegration and metabolism	Benzoate degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	0	Metabolism	Xenobiotics biodegration and metabolism	Styrene degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	0	Metabolism	Xenobiotics biodegration and metabolism	Chlorocyclohexane and chlorobenzene  degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	0	Metabolism	Xenobiotics biodegration and metabolism	Xylene degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	0	Metabolism	Xenobiotics biodegration and metabolism	Benzoate degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	0	Metabolism	Xenobiotics biodegration and metabolism	Styrene degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	0	Metabolism	Xenobiotics biodegration and metabolism	Chlorocyclohexane and chlorobenzene  degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	0	Metabolism	Xenobiotics biodegration and metabolism	Xylene degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catE	1	1	1	1	1	1	1	1	0	Metabolism	Xenobiotics biodegration and metabolism	Benzoate degradation	K07104	catechol2,3-dioxygenase	1.13.11.2	NA	NA	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
catI	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
catJ	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
catM	0	0	0	0	0	0	0	0	1	Protein families: genetic information processing	Enzymes	Transcription factors	K21756	LysRfamilytranscriptionalregulator,cis,cis-muconate-responsiveactivatorofcatandbengenes	NA	NA	NA	catM; LysR family transcriptional regulator, cis,cis-muconate-responsive activator of cat and ben genes
cbbY	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
cbiX	0	1	1	0	0	0	1	1	0	Metabolism	Metabolism of cofactors and vitamins	Porphrin and chlorophyll metabolism	K03795	sirohydrochlorincobaltochelatase	4.99.1.3	NA	NA	cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
cbpA	0	1	1	0	0	1	0	0	1	Protein families: genetic information processing	Enzymes	Chromosome and associated proteins	K05516	curvedDNA-bindingprotein	NA	NA	NA	cbpA; curved DNA-binding protein
cbpA	0	1	1	0	0	1	0	0	1	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K05516	curvedDNA-bindingprotein	NA	NA	NA	cbpA; curved DNA-binding protein
cbpA	1	1	1	1	1	1	1	1	0	Protein families: genetic information processing	Enzymes	Chromosome and associated proteins	K05516	curvedDNA-bindingprotein	NA	NA	NA	cbpA; curved DNA-binding protein
cbpA	1	1	1	1	1	1	1	1	0	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K05516	curvedDNA-bindingprotein	NA	NA	NA	cbpA; curved DNA-binding protein
cbpA	0	0	1	0	0	0	0	0	0	Protein families: genetic information processing	Enzymes	Chromosome and associated proteins	K05516	curvedDNA-bindingprotein	NA	NA	NA	cbpA; curved DNA-binding protein
cbpA	0	0	1	0	0	0	0	0	0	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K05516	curvedDNA-bindingprotein	NA	NA	NA	cbpA; curved DNA-binding protein
cbpM	0	0	1	0	0	0	0	0	0	Protein families: genetic information processing	Enzymes	Chromosome and associated proteins	K18997	chaperonemodulatoryproteinCbpM	NA	NA	NA	cbpM; chaperone modulatory protein CbpM
cca	1	1	1	1	1	1	1	1	0	Genetic information processing	Translation	RNA transport	K00974	tRNAnucleotidyltransferase(CCA-addingenzyme)	2.7.7.72	3.1.3.-	3.1.4.-	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
cca	1	1	1	1	1	1	1	1	0	Protein families: genetic information processing	Enzymes	tRNA biogenesis	K00974	tRNAnucleotidyltransferase(CCA-addingenzyme)	2.7.7.72	3.1.3.-	3.1.4.-	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
cca	1	1	1	1	1	1	1	1	1	Genetic information processing	Translation	RNA transport	K00974	tRNAnucleotidyltransferase(CCA-addingenzyme)	2.7.7.72	3.1.3.-	3.1.4.-	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
cca	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	tRNA biogenesis	K00974	tRNAnucleotidyltransferase(CCA-addingenzyme)	2.7.7.72	3.1.3.-	3.1.4.-	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
cca	1	1	1	1	1	1	1	1	1	Genetic information processing	Translation	RNA transport	K00974	tRNAnucleotidyltransferase(CCA-addingenzyme)	2.7.7.72	3.1.3.-	3.1.4.-	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
cca	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	tRNA biogenesis	K00974	tRNAnucleotidyltransferase(CCA-addingenzyme)	2.7.7.72	3.1.3.-	3.1.4.-	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
ccl	0	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K15234	citryl-CoAlyase	4.1.3.34	NA	NA	ccl; citryl-CoA lyase [EC:4.1.3.34]
ccl	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K15234	citryl-CoAlyase	4.1.3.34	NA	NA	ccl; citryl-CoA lyase [EC:4.1.3.34]
ccpA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	0	1	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	0	1	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	0	1	1	1	1	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpA	1	1	1	1	1	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccpN	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccr	0	1	0	0	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K14446	crotonyl-CoAcarboxylase/reductase	1.3.1.85	NA	NA	ccr; crotonyl-CoA carboxylase/reductase [EC:1.3.1.85]
ccrA2	1	0	1	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccsA	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K15232	citryl-CoAsynthetaselargesubunit	6.2.1.18	NA	NA	ccsA; citryl-CoA synthetase large subunit [EC:6.2.1.18]
ccsA	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K15232	citryl-CoAsynthetaselargesubunit	6.2.1.18	NA	NA	ccsA; citryl-CoA synthetase large subunit [EC:6.2.1.18]
ccsA	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K15232	citryl-CoAsynthetaselargesubunit	6.2.1.18	NA	NA	ccsA; citryl-CoA synthetase large subunit [EC:6.2.1.18]
ccsB	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K15233	citryl-CoAsynthetasesmallsubunit	NA	NA	NA	ccsB; citryl-CoA synthetase small subunit
ccsB	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K15233	citryl-CoAsynthetasesmallsubunit	NA	NA	NA	ccsB; citryl-CoA synthetase small subunit
cdaA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cdaR	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Transcription factors	K02647	carbohydratediacidregulator	NA	NA	NA	cdaR; carbohydrate diacid regulator
cdaR	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Transcription factors	K02647	carbohydratediacidregulator	NA	NA	NA	cdaR; carbohydrate diacid regulator
cdd	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cdd	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cdd	1	1	0	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cdhC	0	0	0	0	0	0	1	1	0	Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism	K21675	caffeinedehydrogenasesubunitgamma	1.17.5.2	NA	NA	cdhC; caffeine dehydrogenase subunit gamma [EC:1.17.5.2]
cdhC	0	0	0	0	0	0	1	1	0	Metabolism	Energy metabolism	Methane metabolism	K00193	acetyl-CoAdecarbonylase/synthasecomplexsubunitbeta	2.3.1.-	NA	NA	cdhC; acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]
cdhR	1	1	1	0	1	1	0	0	1	Protein families: genetic information processing	Enzymes	Transcription factors	K17736	AraCfamilytranscriptionalregulator,carnitinecatabolismtranscriptionalactivator	NA	NA	NA	cdhR; AraC family transcriptional regulator, carnitine catabolism transcriptional activator
cdhR	0	0	0	1	0	0	0	0	0	Protein families: genetic information processing	Enzymes	Transcription factors	K17736	AraCfamilytranscriptionalregulator,carnitinecatabolismtranscriptionalactivator	NA	NA	NA	cdhR; AraC family transcriptional regulator, carnitine catabolism transcriptional activator
cdhR	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Transcription factors	K17736	AraCfamilytranscriptionalregulator,carnitinecatabolismtranscriptionalactivator	NA	NA	NA	cdhR; AraC family transcriptional regulator, carnitine catabolism transcriptional activator
cdhR	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Transcription factors	K17736	AraCfamilytranscriptionalregulator,carnitinecatabolismtranscriptionalactivator	NA	NA	NA	cdhR; AraC family transcriptional regulator, carnitine catabolism transcriptional activator
cdr	0	0	0	0	0	1	0	0	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K08255	CoA-disulfidereductase	1.8.1.14	NA	NA	cdr; CoA-disulfide reductase [EC:1.8.1.14]
cdr	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K08255	CoA-disulfidereductase	1.8.1.14	NA	NA	cdr; CoA-disulfide reductase [EC:1.8.1.14]
cdsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cdsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cdsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cefF	1	1	1	1	1	1	1	1	1	Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporinin biosynthesis	K12745	deacetoxycephalosporin-Chydroxylase	1.14.11.26	NA	NA	cefF; deacetoxycephalosporin-C hydroxylase [EC:1.14.11.26]
celA	0	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
celD	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ceo	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00298	N5-(carboxyethyl)ornithinesynthase	1.5.1.24	NA	NA	ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
ceo	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00298	N5-(carboxyethyl)ornithinesynthase	1.5.1.24	NA	NA	ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
cetB	1	1	1	1	1	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
cfiB	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20141	2-oxoglutaratecarboxylasesmallsubunit	6.4.1.7	NA	NA	cfiB; 2-oxoglutarate carboxylase small subunit [EC:6.4.1.7]
cfiB	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20141	2-oxoglutaratecarboxylasesmallsubunit	6.4.1.7	NA	NA	cfiB; 2-oxoglutarate carboxylase small subunit [EC:6.4.1.7]
cfiB	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20141	2-oxoglutaratecarboxylasesmallsubunit	6.4.1.7	NA	NA	cfiB; 2-oxoglutarate carboxylase small subunit [EC:6.4.1.7]
cfiB	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20141	2-oxoglutaratecarboxylasesmallsubunit	6.4.1.7	NA	NA	cfiB; 2-oxoglutarate carboxylase small subunit [EC:6.4.1.7]
cggR	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Transcription factors	K05311	centralglycolyticgenesregulator	NA	NA	NA	cggR; central glycolytic genes regulator
cgkA	0	1	0	0	0	0	0	0	0	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20846	kappa-carrageenase	3.2.1.83	NA	NA	cgkA; kappa-carrageenase [EC:3.2.1.83]
cgkA	0	0	0	0	0	0	0	0	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20846	kappa-carrageenase	3.2.1.83	NA	NA	cgkA; kappa-carrageenase [EC:3.2.1.83]
cgkA	0	0	0	0	0	0	0	0	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20846	kappa-carrageenase	3.2.1.83	NA	NA	cgkA; kappa-carrageenase [EC:3.2.1.83]
chaA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
chaA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
chbF	1	1	0	1	1	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrA	0	1	1	0	0	0	0	0	0	Protein families: signaling and cellular processes	Enzymes	Transporters	K07240	chromatetransporter	NA	NA	NA	chrA; chromate transporter
chrA	1	1	1	1	1	1	1	1	1	Protein families: signaling and cellular processes	Enzymes	Transporters	K07240	chromatetransporter	NA	NA	NA	chrA; chromate transporter
chrR	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Signaling proteins	K07167	putativetranscriptionalregulator	NA	NA	NA	chrR; putative transcriptional regulator
chrR	1	0	1	1	1	1	0	1	1	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Signaling proteins	K07167	putativetranscriptionalregulator	NA	NA	NA	chrR; putative transcriptional regulator
chrR	0	1	0	0	0	0	1	0	0	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Signaling proteins	K07167	putativetranscriptionalregulator	NA	NA	NA	chrR; putative transcriptional regulator
chvE	1	1	1	1	0	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
chvE	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cidA	1	1	1	1	1	1	1	1	1	Protein families: signaling and cellular processes	Enzymes	Transporters	K06518	holin-likeprotein	NA	NA	NA	cidA; holin-like protein
cidA	1	1	1	1	1	1	1	1	1	Protein families: signaling and cellular processes	Enzymes	Transporters	K06518	holin-likeprotein	NA	NA	NA	cidA; holin-like protein
cidB	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cimA	1	1	1	1	1	1	1	1	1	Metabolism	Amino acid metabolism	Valine, leucine, and isoleucine biosynthesis	K09011	(R)-citramalatesynthase	2.3.1.182	NA	NA	cimA; (R)-citramalate synthase [EC:2.3.1.182]
cimA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism	K09011	(R)-citramalatesynthase	2.3.1.182	NA	NA	cimA; (R)-citramalate synthase [EC:2.3.1.182]
cimH	1	1	1	1	1	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cinA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cinA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
citE	1	1	1	1	1	1	1	1	1	Environmental information processing	Signal transduction	Two-component system	K01644	citratelyasesubunitbeta/citryl-CoAlyase	4.1.3.34	NA	NA	citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
citN	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
citN	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
citN	1	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
citS	1	1	1	1	1	1	1	1	1	Environmental information processing	Signal transduction	Two-component system	K11637	two-componentsystem,CitBfamily,sensorhistidinekinaseCitS	2.7.13.3	NA	NA	citS; two-component system, CitB family, sensor histidine kinase CitS [EC:2.7.13.3]
citS	1	1	1	1	1	1	1	1	1	Protein families: signaling and cellular processes	Enzymes	Two-component system	K11637	two-componentsystem,CitBfamily,sensorhistidinekinaseCitS	2.7.13.3	NA	NA	citS; two-component system, CitB family, sensor histidine kinase CitS [EC:2.7.13.3]
citS	1	1	1	1	1	1	1	1	1	Protein families: metabolisms	Enzymes	Protein kinases	K11637	two-componentsystem,CitBfamily,sensorhistidinekinaseCitS	2.7.13.3	NA	NA	citS; two-component system, CitB family, sensor histidine kinase CitS [EC:2.7.13.3]
citS	1	1	1	1	1	1	1	1	1	Environmental information processing	Signal transduction	Two-component system	K11637	two-componentsystem,CitBfamily,sensorhistidinekinaseCitS	2.7.13.3	NA	NA	citS; two-component system, CitB family, sensor histidine kinase CitS [EC:2.7.13.3]
citS	1	1	1	1	1	1	1	1	1	Protein families: signaling and cellular processes	Enzymes	Two-component system	K11637	two-componentsystem,CitBfamily,sensorhistidinekinaseCitS	2.7.13.3	NA	NA	citS; two-component system, CitB family, sensor histidine kinase CitS [EC:2.7.13.3]
citS	1	1	1	1	1	1	1	1	1	Protein families: metabolisms	Enzymes	Protein kinases	K11637	two-componentsystem,CitBfamily,sensorhistidinekinaseCitS	2.7.13.3	NA	NA	citS; two-component system, CitB family, sensor histidine kinase CitS [EC:2.7.13.3]
citT	1	1	1	1	1	1	1	1	1	Protein families: signaling and cellular processes	Enzymes	Transporters	K09477	citrate:succinateantiporter	NA	NA	NA	citT; citrate:succinate antiporter
citT	1	1	1	1	1	1	1	1	1	Environmental information processing	Signal transduction	Two-component system	K09477	citrate:succinateantiporter	NA	NA	NA	citT; citrate:succinate antiporter
citT	1	1	0	1	1	1	1	1	0	Protein families: signaling and cellular processes	Enzymes	Transporters	K09477	citrate:succinateantiporter	NA	NA	NA	citT; citrate:succinate antiporter
citT	1	1	0	1	1	1	1	1	0	Environmental information processing	Signal transduction	Two-component system	K09477	citrate:succinateantiporter	NA	NA	NA	citT; citrate:succinate antiporter
citZ	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clcA	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
clcD	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clfB	0	0	0	0	0	0	0	0	1	Diseases	Infectious diseases: bacterial	S. aureus infection	K14192	clumpingfactorB	NA	NA	NA	clfB; clumping factor B
clgR	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clgR	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clgR	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clgR	1	1	1	1	1	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpB	1	1	1	1	1	1	1	1	1	Organismal systems	Aging	Longevity regulating pathway- multiple	K03695	ATP-dependentClpproteaseATP-bindingsubunitClpB	NA	NA	NA	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
clpB	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03695	ATP-dependentClpproteaseATP-bindingsubunitClpB	NA	NA	NA	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
clpB	1	1	1	1	1	1	1	1	1	Organismal systems	Aging	Longevity regulating pathway- multiple	K03695	ATP-dependentClpproteaseATP-bindingsubunitClpB	NA	NA	NA	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
clpB	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03695	ATP-dependentClpproteaseATP-bindingsubunitClpB	NA	NA	NA	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
clpB	1	1	1	1	1	1	1	1	1	Organismal systems	Aging	Longevity regulating pathway- multiple	K03695	ATP-dependentClpproteaseATP-bindingsubunitClpB	NA	NA	NA	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
clpB	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03695	ATP-dependentClpproteaseATP-bindingsubunitClpB	NA	NA	NA	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
clpC	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03696	ATP-dependentClpproteaseATP-bindingsubunitClpC	NA	NA	NA	clpC; ATP-dependent Clp protease ATP-binding subunit ClpC
clpC	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03696	ATP-dependentClpproteaseATP-bindingsubunitClpC	NA	NA	NA	clpC; ATP-dependent Clp protease ATP-binding subunit ClpC
clpC1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpC1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpE	0	1	0	0	0	0	0	0	0	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03697	ATP-dependentClpproteaseATP-bindingsubunitClpE	NA	NA	NA	clpE; ATP-dependent Clp protease ATP-binding subunit ClpE
clpL	0	1	1	1	0	1	1	1	0	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K04086	ATP-dependentClpproteaseATP-bindingsubunitClpL	NA	NA	NA	clpL; ATP-dependent Clp protease ATP-binding subunit ClpL
clpP	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP1	0	1	1	1	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP2	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP2	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP2	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpP2	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpS	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: genetic information processing	Protein processing	K06891	ATP-dependentClpproteaseadaptorproteinClpS	NA	NA	NA	clpS; ATP-dependent Clp protease adaptor protein ClpS
clpX	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpX	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clpX	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cls	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cls	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
clsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
