Genome,Annotation_method,type,start,end,ID,eC_number,Name,dbxref,gene,inference,locus_tag,product
Brevi_738_8_5,Prodigal:2.6,CDS,2328,3272,ID=DEIPBNHI_04290,eC_number=1.3.1.14,Name=pyrD_3,dbxref=COG:COG0167,gene=pyrD_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P25996,locus_tag=DEIPBNHI_04290,product=Dihydroorotate dehydrogenase B (NAD(+))%2C catalytic subunit
Brevi_738_8_6,Prodigal:2.6,CDS,4829,6139,ID=DEIPBNHI_04351,Name=mntH_2,dbxref=COG:COG1914,gene=mntH_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P96593,locus_tag=DEIPBNHI_04351,product=Divalent metal cation transporter MntH,NA
Brevi_738_8_6,Prodigal:2.6,CDS,15439,15801,ID=DEIPBNHI_04363,Name=pucR_1,dbxref=COG:COG2508,gene=pucR_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32138,locus_tag=DEIPBNHI_04363,product=Purine catabolism regulatory protein,NA
Brevi_738_8_7,Prodigal:2.6,CDS,7728,9356,ID=DEIPBNHI_04498,eC_number=2.2.1.6,Name=budB,dbxref=COG:COG0028,gene=budB,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27696,locus_tag=DEIPBNHI_04498,product=Acetolactate synthase%2C catabolic
Brevi_738_8_10,Prodigal:2.6,CDS,11237,12853,ID=DEIPBNHI_05147,eC_number=1.8.5.-,Name=msrP_1,dbxref=COG:COG2041,gene=msrP_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76342,locus_tag=DEIPBNHI_05147,product=Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Brevi_738_8_10,Prodigal:2.6,CDS,106993,108303,ID=DEIPBNHI_05227,eC_number=3.6.4.12,Name=dnaB_2,dbxref=COG:COG0305,gene=dnaB_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMR3,locus_tag=DEIPBNHI_05227,product=Replicative DNA helicase
Brevi_738_8_10,Prodigal:2.6,CDS,146595,148229,ID=DEIPBNHI_05260,Name=dnaA_2,dbxref=COG:COG0593,gene=dnaA_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A0R7K1,locus_tag=DEIPBNHI_05260,product=Chromosomal replication initiator protein DnaA,NA
Brevi_738_8_10,Prodigal:2.6,CDS,149911,151035,ID=DEIPBNHI_05262,Name=recF_4,dbxref=COG:COG1195,gene=recF_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=DEIPBNHI_05262,product=DNA replication and repair protein RecF,NA
Brevi_738_8_11,Prodigal:2.6,CDS,90192,91805,ID=DEIPBNHI_05444,Name=pucR_2,dbxref=COG:COG2508,gene=pucR_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32138,locus_tag=DEIPBNHI_05444,product=Purine catabolism regulatory protein,NA
Brevi_738_8_11,Prodigal:2.6,CDS,369175,369639,ID=DEIPBNHI_05718,eC_number=1.-.-.-,Name=catD_2,dbxref=COG:COG2259,gene=catD_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54720,locus_tag=DEIPBNHI_05718,product=Putative oxidoreductase CatD
Brevi_738_8_12,Prodigal:2.6,CDS,57651,58052,ID=DEIPBNHI_05819,Name=glbO_2,dbxref=COG:COG2346,gene=glbO_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WN23,locus_tag=DEIPBNHI_05819,product=Group 2 truncated hemoglobin GlbO,NA
Brevi_738_8_13,Prodigal:2.6,CDS,64286,64585,ID=DEIPBNHI_05956,eC_number=5.3.3.4,Name=catC,dbxref=COG:COG4829,gene=catC,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P80573,locus_tag=DEIPBNHI_05956,product=Muconolactone Delta-isomerase
Brevi_738_8_13,Prodigal:2.6,CDS,116734,118032,ID=DEIPBNHI_06004,eC_number=3.1.1.24,Name=catD_3,dbxref=COG:COG0596,gene=catD_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=DEIPBNHI_06004,product=3-oxoadipate enol-lactonase 2
Brevi_738_8_13,Prodigal:2.6,CDS,119497,120069,ID=DEIPBNHI_06006,eC_number=1.13.11.3,Name=pcaG,dbxref=COG:COG3485,gene=pcaG,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P20371,locus_tag=DEIPBNHI_06006,product=Protocatechuate 3%2C4-dioxygenase alpha chain
Brevi_738_8_13,Prodigal:2.6,CDS,120062,120862,ID=DEIPBNHI_06007,eC_number=1.13.11.3,Name=pcaH,dbxref=COG:COG3485,gene=pcaH,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00437,locus_tag=DEIPBNHI_06007,product=Protocatechuate 3%2C4-dioxygenase beta chain
Brevi_738_8_13,Prodigal:2.6,CDS,167020,168501,ID=DEIPBNHI_06049,Name=hpcE,dbxref=COG:COG0179,gene=hpcE,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37352,locus_tag=DEIPBNHI_06049,product=Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase,NA
Brevi_738_8_13,Prodigal:2.6,CDS,397140,398030,ID=DEIPBNHI_06262,Name=catM,gene=catM,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P07774,locus_tag=DEIPBNHI_06262,product=HTH-type transcriptional regulator CatM,NA,NA
Brevi_738_8_13,Aragorn:1.2,tRNA,471454,471529,ID=DEIPBNHI_06337,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_06337,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_738_8_16,Prodigal:2.6,CDS,85930,86697,ID=DEIPBNHI_06726,eC_number=3.1.1.24,Name=catD_4,dbxref=COG:COG0596,gene=catD_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=DEIPBNHI_06726,product=3-oxoadipate enol-lactonase 2
Brevi_738_8_16,Aragorn:1.2,tRNA,146801,146875,ID=DEIPBNHI_06774,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_06774,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_738_8_19,Prodigal:2.6,CDS,17569,19389,ID=DEIPBNHI_06796,eC_number=3.6.3.-,Name=ctpG_1,dbxref=COG:COG2217,gene=ctpG_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WPS7,locus_tag=DEIPBNHI_06796,product=putative cation-transporting ATPase G
Brevi_738_8_19,Prodigal:2.6,CDS,23100,25097,ID=DEIPBNHI_06802,eC_number=3.6.3.-,Name=ctpG_2,dbxref=COG:COG2217,gene=ctpG_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WPS7,locus_tag=DEIPBNHI_06802,product=putative cation-transporting ATPase G
Brevi_738_8_19,Prodigal:2.6,CDS,46116,46928,ID=DEIPBNHI_06825,eC_number=2.8.3.6,Name=catJ,gene=catJ,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8VPF2,locus_tag=DEIPBNHI_06825,product=3-oxoadipate CoA-transferase subunit B,NA
Brevi_738_8_19,Prodigal:2.6,CDS,46925,47839,ID=DEIPBNHI_06826,eC_number=2.8.3.6,Name=catI,gene=catI,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8VPF3,locus_tag=DEIPBNHI_06826,product=3-oxoadipate CoA-transferase subunit A,NA
Brevi_738_8_19,Prodigal:2.6,CDS,76293,77174,ID=DEIPBNHI_06857,Name=tagG_2,dbxref=COG:COG1682,gene=tagG_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=DEIPBNHI_06857,product=Teichoic acid translocation permease protein TagG,NA
Brevi_738_8_20,Prodigal:2.6,CDS,53331,54605,ID=DEIPBNHI_06910,Name=mntH_3,dbxref=COG:COG1914,gene=mntH_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WIZ5,locus_tag=DEIPBNHI_06910,product=Divalent metal cation transporter MntH,NA
Brevi_738_8_20,Prodigal:2.6,CDS,174851,176137,ID=DEIPBNHI_07014,Name=rarA_3,dbxref=COG:COG2256,gene=rarA_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=DEIPBNHI_07014,product=Replication-associated recombination protein A,NA
Brevi_738_8_20,Prodigal:2.6,CDS,189400,190257,ID=DEIPBNHI_07028,Name=tagG_3,dbxref=COG:COG1682,gene=tagG_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=DEIPBNHI_07028,product=Teichoic acid translocation permease protein TagG,NA
Brevi_738_8_25,Prodigal:2.6,CDS,36361,37314,ID=DEIPBNHI_07291,eC_number=1.13.11.2,Name=catE_2,dbxref=COG:COG2514,gene=catE_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=DEIPBNHI_07291,product=Catechol-2%2C3-dioxygenase
Brevi_738_8_25,Prodigal:2.6,CDS,77346,78938,ID=DEIPBNHI_07324,eC_number=1.8.5.-,Name=msrP_2,dbxref=COG:COG2041,gene=msrP_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76342,locus_tag=DEIPBNHI_07324,product=Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Brevi_738_8_25,Prodigal:2.6,CDS,92453,93778,ID=DEIPBNHI_07335,Name=mntH_4,gene=mntH_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q99UZ7,locus_tag=DEIPBNHI_07335,product=Divalent metal cation transporter MntH,NA,NA
Brevi_738_8_27,Prodigal:2.6,CDS,33343,35436,ID=DEIPBNHI_07418,Name=recF_5,gene=recF_5,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00365,locus_tag=DEIPBNHI_07418,product=DNA replication and repair protein RecF,NA,NA
Brevi_738_8_41,Aragorn:1.2,tRNA,242,316,ID=DEIPBNHI_07473,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_07473,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_738_8_86,Prodigal:2.6,CDS,174,458,ID=DEIPBNHI_07565,Name=recF_6,gene=recF_6,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00365,locus_tag=DEIPBNHI_07565,product=DNA replication and repair protein RecF,NA,NA
SEQ_738_7_3,Aragorn:1.2,tRNA,32357,32428,ID=DEIPBNHI_07678,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_07678,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_738_7_3,Prodigal:2.6,CDS,42448,43698,ID=DEIPBNHI_07705,eC_number=3.6.4.12,Name=dnaC_1,dbxref=COG:COG0305,gene=dnaC_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37469,locus_tag=DEIPBNHI_07705,product=Replicative DNA helicase
SEQ_738_7_8,Prodigal:2.6,CDS,93332,94363,ID=DEIPBNHI_08058,eC_number=2.1.3.3,Name=arcB_2,gene=arcB_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P65602,locus_tag=DEIPBNHI_08058,product=Ornithine carbamoyltransferase%2C catabolic,NA
SEQ_738_7_9,Prodigal:2.6,CDS,74798,75169,ID=DEIPBNHI_08148,Name=yjbI,dbxref=COG:COG2346,gene=yjbI,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O31607,locus_tag=DEIPBNHI_08148,product=Group 2 truncated hemoglobin YjbI,NA
SEQ_738_7_10,Prodigal:2.6,CDS,43864,44676,ID=DEIPBNHI_08208,eC_number=1.13.11.2,Name=catE_3,dbxref=COG:COG2514,gene=catE_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=DEIPBNHI_08208,product=Catechol-2%2C3-dioxygenase
SEQ_738_7_11,Prodigal:2.6,CDS,24021,24815,ID=DEIPBNHI_08300,eC_number=1.13.11.2,Name=catE_4,dbxref=COG:COG2514,gene=catE_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=DEIPBNHI_08300,product=Catechol-2%2C3-dioxygenase
SEQ_738_7_36,Prodigal:2.6,CDS,74921,75766,ID=DEIPBNHI_09238,Name=tagG_4,dbxref=COG:COG1682,gene=tagG_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=DEIPBNHI_09238,product=Teichoic acid translocation permease protein TagG,NA
SEQ_738_7_36,Prodigal:2.6,CDS,224682,225455,ID=DEIPBNHI_09386,Name=dnaC_2,dbxref=COG:COG1484,gene=dnaC_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AEF0,locus_tag=DEIPBNHI_09386,product=DNA replication protein DnaC,NA
SEQ_738_7_46,Prodigal:2.6,CDS,31888,33759,ID=DEIPBNHI_09776,eC_number=2.1.1.72,Name=mboIIM,gene=mboIIM,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P23192,locus_tag=DEIPBNHI_09776,product=Modification methylase MboII,NA
SEQ_738_7_46,Prodigal:2.6,CDS,37733,38314,ID=DEIPBNHI_09781,Name=repB,gene=repB,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13921,locus_tag=DEIPBNHI_09781,product=Replication protein RepB,NA,NA
SEQ_738_7_46,Prodigal:2.6,CDS,78717,79169,ID=DEIPBNHI_09837,eC_number=2.8.1.12,Name=moaE,gene=moaE,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P65401,locus_tag=DEIPBNHI_09837,product=Molybdopterin synthase catalytic subunit,NA
SEQ_738_7_52,Prodigal:2.6,CDS,25986,27863,ID=DEIPBNHI_10093,Name=mnmG,gene=mnmG,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P64230,locus_tag=DEIPBNHI_10093,product=tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,NA,NA
SEQ_738_7_52,Prodigal:2.6,CDS,27880,29262,ID=DEIPBNHI_10094,eC_number=3.6.-.-,Name=mnmE_2,dbxref=COG:COG0486,gene=mnmE_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8YN91,locus_tag=DEIPBNHI_10094,product=tRNA modification GTPase MnmE
SEQ_738_7_52,Prodigal:2.6,CDS,30798,32165,ID=DEIPBNHI_10097,Name=dnaA_3,gene=dnaA_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P68866,locus_tag=DEIPBNHI_10097,product=Chromosomal replication initiator protein DnaA,NA,NA
SEQ_738_7_52,Prodigal:2.6,CDS,34299,35414,ID=DEIPBNHI_10099,Name=recF_7,dbxref=COG:COG1195,gene=recF_7,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=DEIPBNHI_10099,product=DNA replication and repair protein RecF,NA
SEQ_738_7_52,Prodigal:2.6,CDS,50805,52208,ID=DEIPBNHI_10111,eC_number=3.6.4.12,Name=dnaC_3,dbxref=COG:COG0305,gene=dnaC_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37469,locus_tag=DEIPBNHI_10111,product=Replicative DNA helicase
SEQ_738_7_53,Prodigal:2.6,CDS,25930,27324,ID=DEIPBNHI_10143,Name=dnaB_3,dbxref=COG:COG3611,gene=dnaB_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P07908,locus_tag=DEIPBNHI_10143,product=Replication initiation and membrane attachment protein,NA
SEQ_738_7_54,Prodigal:2.6,CDS,25671,26894,ID=DEIPBNHI_10190,Name=mntH_5,dbxref=COG:COG1914,gene=mntH_5,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9RPF4,locus_tag=DEIPBNHI_10190,product=Divalent metal cation transporter MntH,NA
SEQ_738_7_57,Aragorn:1.2,tRNA,840,914,ID=DEIPBNHI_10239,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_10239,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_738_7_57,Aragorn:1.2,tRNA,941,1014,ID=DEIPBNHI_10240,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_10240,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_738_7_57,Aragorn:1.2,tRNA,1268,1339,ID=DEIPBNHI_10243,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_10243,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_738_7_61,Prodigal:2.6,CDS,15154,15840,ID=DEIPBNHI_10294,Name=dnaD,dbxref=COG:COG3935,gene=dnaD,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P39787,locus_tag=DEIPBNHI_10294,product=DNA replication protein DnaD,NA
SEQ_738_7_61,Prodigal:2.6,CDS,60777,61568,ID=DEIPBNHI_10342,Name=nirQ,dbxref=COG:COG0714,gene=nirQ,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02441,locus_tag=DEIPBNHI_10342,product=Denitrification regulatory protein NirQ,NA
SEQ_738_7_70,Prodigal:2.6,CDS,11623,12861,ID=DEIPBNHI_10523,eC_number=2.1.1.37,Name=banIM,gene=banIM,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P19888,locus_tag=DEIPBNHI_10523,product=Modification methylase BanI,NA
SEQ_738_7_94,Prodigal:2.6,CDS,3296,4618,ID=DEIPBNHI_10668,Name=mntH_6,gene=mntH_6,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q99UZ7,locus_tag=DEIPBNHI_10668,product=Divalent metal cation transporter MntH,NA,NA
Brachy_862_8,Prodigal:2.6,CDS,65957,67363,ID=LBLIGOHA_00054,eC_number=3.6.4.12,Name=dnaB_1,dbxref=COG:COG0305,gene=dnaB_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMR3,locus_tag=LBLIGOHA_00054,product=Replicative DNA helicase
Brachy_862_8_4,Prodigal:2.6,CDS,554,1501,ID=LBLIGOHA_00231,Name=tagG_1,dbxref=COG:COG1682,gene=tagG_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=LBLIGOHA_00231,product=Teichoic acid translocation permease protein TagG,NA
Brachy_862_8_5,Prodigal:2.6,CDS,80486,81397,ID=LBLIGOHA_00351,Name=czcD_1,gene=czcD_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13512,locus_tag=LBLIGOHA_00351,product=Metal cation efflux system protein CzcD,NA,NA
Brachy_862_8_5,Prodigal:2.6,CDS,273194,273634,ID=LBLIGOHA_00525,Name=glbO_1,dbxref=COG:COG2346,gene=glbO_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WN23,locus_tag=LBLIGOHA_00525,product=Group 2 truncated hemoglobin GlbO,NA
Brachy_862_8_10,Prodigal:2.6,CDS,8988,10334,ID=LBLIGOHA_00723,eC_number=3.1.1.24,Name=catD_1,dbxref=COG:COG0596,gene=catD_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=LBLIGOHA_00723,product=3-oxoadipate enol-lactonase 2
Brachy_862_8_12,Prodigal:2.6,CDS,23112,24377,ID=LBLIGOHA_00887,Name=recF_1,dbxref=COG:COG1195,gene=recF_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=LBLIGOHA_00887,product=DNA replication and repair protein RecF,NA
Brachy_862_8_12,Prodigal:2.6,CDS,26039,27736,ID=LBLIGOHA_00889,Name=dnaA_1,gene=dnaA_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9ZH75,locus_tag=LBLIGOHA_00889,product=Chromosomal replication initiator protein DnaA,NA,NA
Brachy_862_8_12,Prodigal:2.6,CDS,99816,101240,ID=LBLIGOHA_00955,Name=mntH_1,gene=mntH_1,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00221,locus_tag=LBLIGOHA_00955,product=Divalent metal cation transporter MntH,NA,NA
Brachy_862_8_17,Prodigal:2.6,CDS,88902,89852,ID=LBLIGOHA_01265,eC_number=1.13.11.2,Name=catE_1,dbxref=COG:COG2514,gene=catE_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=LBLIGOHA_01265,product=Catechol-2%2C3-dioxygenase
Brachy_862_8_19,Aragorn:1.2,tRNA,117555,117630,ID=LBLIGOHA_01581,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_01581,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_862_8_21,Prodigal:2.6,CDS,4906,6231,ID=LBLIGOHA_01815,Name=rarA_1,dbxref=COG:COG2256,gene=rarA_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=LBLIGOHA_01815,product=Replication-associated recombination protein A,NA
Brachy_862_8_25,Prodigal:2.6,CDS,270100,270588,ID=LBLIGOHA_02117,eC_number=2.-.-.-,Name=moaE2_3,dbxref=COG:COG0314,gene=moaE2_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WJR1,locus_tag=LBLIGOHA_02117,product=Molybdopterin synthase catalytic subunit 2
Brachy_862_8_32,Aragorn:1.2,tRNA,5131,5205,ID=LBLIGOHA_02543,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_02543,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_862_8_36,Aragorn:1.2,tRNA,173731,173807,ID=LBLIGOHA_02852,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_02852,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_862_8_37,Prodigal:2.6,CDS,22811,24523,ID=LBLIGOHA_02891,eC_number=3.6.-.-,Name=mnmE_1,gene=mnmE_1,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00379,locus_tag=LBLIGOHA_02891,product=tRNA modification GTPase MnmE,NA
Brachy_862_8_38,Aragorn:1.2,tRNA,16696,16770,ID=LBLIGOHA_03019,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=LBLIGOHA_03019,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_862_7,Prodigal:2.6,CDS,165071,166552,ID=LBLIGOHA_03805,Name=hpcE,dbxref=COG:COG0179,gene=hpcE,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37352,locus_tag=LBLIGOHA_03805,product=Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase,NA
Brevi_862_7,Prodigal:2.6,CDS,198564,199364,ID=LBLIGOHA_03834,eC_number=1.13.11.3,Name=pcaH,dbxref=COG:COG3485,gene=pcaH,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00437,locus_tag=LBLIGOHA_03834,product=Protocatechuate 3%2C4-dioxygenase beta chain
Brevi_862_7,Prodigal:2.6,CDS,199357,199929,ID=LBLIGOHA_03835,eC_number=1.13.11.3,Name=pcaG,dbxref=COG:COG3485,gene=pcaG,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P20371,locus_tag=LBLIGOHA_03835,product=Protocatechuate 3%2C4-dioxygenase alpha chain
Brevi_862_7,Prodigal:2.6,CDS,201394,202692,ID=LBLIGOHA_03837,eC_number=3.1.1.24,Name=catD_2,dbxref=COG:COG0596,gene=catD_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=LBLIGOHA_03837,product=3-oxoadipate enol-lactonase 2
Brevi_862_7_3,Prodigal:2.6,CDS,81562,82026,ID=LBLIGOHA_03989,eC_number=1.-.-.-,Name=catD_3,dbxref=COG:COG2259,gene=catD_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54720,locus_tag=LBLIGOHA_03989,product=Putative oxidoreductase CatD
Brevi_862_7_4,Prodigal:2.6,CDS,19103,20731,ID=LBLIGOHA_04018,eC_number=2.2.1.6,Name=budB,dbxref=COG:COG0028,gene=budB,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27696,locus_tag=LBLIGOHA_04018,product=Acetolactate synthase%2C catabolic
Brevi_862_7_5,Prodigal:2.6,CDS,11127,12743,ID=LBLIGOHA_04297,eC_number=1.8.5.-,Name=msrP_1,dbxref=COG:COG2041,gene=msrP_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76342,locus_tag=LBLIGOHA_04297,product=Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Brevi_862_7_11,Prodigal:2.6,CDS,38986,39939,ID=LBLIGOHA_04723,eC_number=1.13.11.2,Name=catE_2,dbxref=COG:COG2514,gene=catE_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=LBLIGOHA_04723,product=Catechol-2%2C3-dioxygenase
Brevi_862_7_11,Prodigal:2.6,CDS,79962,81554,ID=LBLIGOHA_04756,eC_number=1.8.5.-,Name=msrP_2,dbxref=COG:COG2041,gene=msrP_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76342,locus_tag=LBLIGOHA_04756,product=Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Brevi_862_7_11,Prodigal:2.6,CDS,95083,96408,ID=LBLIGOHA_04767,Name=mntH_2,dbxref=COG:COG1914,gene=mntH_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P96593,locus_tag=LBLIGOHA_04767,product=Divalent metal cation transporter MntH,NA
Brevi_862_7_17,Prodigal:2.6,CDS,47848,48972,ID=LBLIGOHA_05265,Name=recF_2,dbxref=COG:COG1195,gene=recF_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=LBLIGOHA_05265,product=DNA replication and repair protein RecF,NA
Brevi_862_7_17,Prodigal:2.6,CDS,50654,52288,ID=LBLIGOHA_05267,Name=dnaA_2,dbxref=COG:COG0593,gene=dnaA_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A0R7K1,locus_tag=LBLIGOHA_05267,product=Chromosomal replication initiator protein DnaA,NA
Brevi_862_7_17,Prodigal:2.6,CDS,91107,92417,ID=LBLIGOHA_05302,eC_number=3.6.4.12,Name=dnaB_2,dbxref=COG:COG0305,gene=dnaB_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMR3,locus_tag=LBLIGOHA_05302,product=Replicative DNA helicase
Brevi_862_7_18,Prodigal:2.6,CDS,24785,26095,ID=LBLIGOHA_05366,Name=mntH_3,dbxref=COG:COG1914,gene=mntH_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P96593,locus_tag=LBLIGOHA_05366,product=Divalent metal cation transporter MntH,NA
