Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Brachy_341_9.fa,Brachy_738_10.fa,Brachy_862_8.fa,Brachy_876_9.fa,Brachy_900_8.fa,Brachy_908_11.fa,Brachy_947_11.fa,Brachy_962_10.fa,Brachy_JB7.fa,Brevi_341_13.fa,Brevi_738_8.fa,Brevi_862_7.fa,Brevi_876_7.fa,Brevi_900_6.fa,Brevi_908_7.fa,Brevi_947_7.fa,Brevi_962_8.fa,Brevi_JB5.fa,SEQ_341_10.fa,SEQ_738_7.fa,SEQ_862_5.fa,SEQ_876_5.fa,SEQ_900_4.fa,SEQ_908_10.fa,SEQ_947_12.fa,SEQ_962_6.fa,SEQ_JB9.fa
mutT1,,putative 8-oxo-dGTP diphosphatase 1,9,9,1,1,3988,1,6521,,944,944,944,Brachy_341_9.fa_00258,Brachy_738_10.fa_02506,Brachy_862_8.fa_02458,Brachy_876_9.fa_01142,Brachy_900_8.fa_02916,Brachy_908_11.fa_01911,Brachy_947_11.fa_01185,Brachy_962_10.fa_02019,Brachy_JB7.fa_02631,,,,,,,,,,,,,,,,,,
group_4194,,hypothetical protein,9,9,1,1,3985,1,6519,,749,749,749,Brachy_341_9.fa_00260,Brachy_738_10.fa_02508,Brachy_862_8.fa_02460,Brachy_876_9.fa_01140,Brachy_900_8.fa_02914,Brachy_908_11.fa_01913,Brachy_947_11.fa_01183,Brachy_962_10.fa_02017,Brachy_JB7.fa_02633,,,,,,,,,,,,,,,,,,
group_4195,,hypothetical protein,9,9,1,1,3984,1,6517,,101,101,101,Brachy_341_9.fa_00261,Brachy_738_10.fa_02509,Brachy_862_8.fa_02461,Brachy_876_9.fa_01139,Brachy_900_8.fa_02913,Brachy_908_11.fa_01914,Brachy_947_11.fa_01182,Brachy_962_10.fa_02016,Brachy_JB7.fa_02634,,,,,,,,,,,,,,,,,,
group_4196,,hypothetical protein,9,9,1,1,3983,1,6516,,650,650,650,Brachy_341_9.fa_00262,Brachy_738_10.fa_02510,Brachy_862_8.fa_02462,Brachy_876_9.fa_01138,Brachy_900_8.fa_02912,Brachy_908_11.fa_01915,Brachy_947_11.fa_01181,Brachy_962_10.fa_02015,Brachy_JB7.fa_02635,,,,,,,,,,,,,,,,,,
gcvT_2,,Aminomethyltransferase,9,9,1,1,3982,1,6515,,1121,1121,1121,Brachy_341_9.fa_00263,Brachy_738_10.fa_02511,Brachy_862_8.fa_02463,Brachy_876_9.fa_01137,Brachy_900_8.fa_02911,Brachy_908_11.fa_01916,Brachy_947_11.fa_01180,Brachy_962_10.fa_02014,Brachy_JB7.fa_02636,,,,,,,,,,,,,,,,,,
group_4198,,hypothetical protein,9,9,1,1,3981,1,6514,,443,443,443,Brachy_341_9.fa_00264,Brachy_738_10.fa_02512,Brachy_862_8.fa_02464,Brachy_876_9.fa_01136,Brachy_900_8.fa_02910,Brachy_908_11.fa_01917,Brachy_947_11.fa_01179,Brachy_962_10.fa_02013,Brachy_JB7.fa_02637,,,,,,,,,,,,,,,,,,
group_4199,,putative protein,9,9,1,1,3980,1,6513,,1292,1292,1292,Brachy_341_9.fa_00265,Brachy_738_10.fa_02513,Brachy_862_8.fa_02465,Brachy_876_9.fa_01135,Brachy_900_8.fa_02909,Brachy_908_11.fa_01918,Brachy_947_11.fa_01178,Brachy_962_10.fa_02012,Brachy_JB7.fa_02638,,,,,,,,,,,,,,,,,,
group_420,,hypothetical protein,9,9,1,1,11478,1,289,,485,668,630,,,,,,,,,,Brevi_341_13.fa_02132,Brevi_738_8.fa_00931,Brevi_862_7.fa_00559,Brevi_876_7.fa_02331,Brevi_900_6.fa_03357,Brevi_908_7.fa_01488,Brevi_947_7.fa_00667,Brevi_962_8.fa_02804,Brevi_JB5.fa_00233,,,,,,,,,
group_4200,,hypothetical protein,9,9,1,1,3979,1,6512,,320,320,320,Brachy_341_9.fa_00266,Brachy_738_10.fa_02514,Brachy_862_8.fa_02466,Brachy_876_9.fa_01134,Brachy_900_8.fa_02908,Brachy_908_11.fa_01919,Brachy_947_11.fa_01177,Brachy_962_10.fa_02011,Brachy_JB7.fa_02639,,,,,,,,,,,,,,,,,,
group_4201,fba,Fructose-bisphosphate aldolase,9,9,1,1,3977,1,6510,,1025,1025,1025,Brachy_341_9.fa_00268,Brachy_738_10.fa_02516,Brachy_862_8.fa_00274,Brachy_876_9.fa_01132,Brachy_900_8.fa_02906,Brachy_908_11.fa_01921,Brachy_947_11.fa_01175,Brachy_962_10.fa_02009,Brachy_JB7.fa_02641,,,,,,,,,,,,,,,,,,
group_4204,,putative protein,9,9,1,1,3973,1,6507,,923,923,923,Brachy_341_9.fa_00271,Brachy_738_10.fa_02519,Brachy_862_8.fa_00271,Brachy_876_9.fa_01129,Brachy_900_8.fa_02903,Brachy_908_11.fa_01924,Brachy_947_11.fa_01172,Brachy_962_10.fa_02006,Brachy_JB7.fa_02644,,,,,,,,,,,,,,,,,,
pyrE_1,,Orotate phosphoribosyltransferase,9,9,1,1,3972,1,6505,,599,599,599,Brachy_341_9.fa_00272,Brachy_738_10.fa_02520,Brachy_862_8.fa_00270,Brachy_876_9.fa_01128,Brachy_900_8.fa_02902,Brachy_908_11.fa_01925,Brachy_947_11.fa_01171,Brachy_962_10.fa_02005,Brachy_JB7.fa_02645,,,,,,,,,,,,,,,,,,
fabG_1,,3-oxoacyl-[acyl-carrier-protein] reductase FabG,9,9,1,1,3971,1,6504,,845,845,845,Brachy_341_9.fa_00273,Brachy_738_10.fa_02521,Brachy_862_8.fa_00269,Brachy_876_9.fa_01127,Brachy_900_8.fa_02901,Brachy_908_11.fa_01926,Brachy_947_11.fa_01170,Brachy_962_10.fa_02004,Brachy_JB7.fa_02646,,,,,,,,,,,,,,,,,,
group_4207,xthA,Exodeoxyribonuclease III,9,9,1,1,3970,1,6503,,800,800,800,Brachy_341_9.fa_00274,Brachy_738_10.fa_02522,Brachy_862_8.fa_00268,Brachy_876_9.fa_01126,Brachy_900_8.fa_02900,Brachy_908_11.fa_01927,Brachy_947_11.fa_01169,Brachy_962_10.fa_02003,Brachy_JB7.fa_02647,,,,,,,,,,,,,,,,,,
group_4208,,putative protein,9,9,1,1,3969,1,5178,,1142,1142,1142,Brachy_341_9.fa_00275,Brachy_738_10.fa_02523,Brachy_862_8.fa_00267,Brachy_876_9.fa_01124,Brachy_900_8.fa_02899,Brachy_908_11.fa_01928,Brachy_947_11.fa_01168,Brachy_962_10.fa_02002,Brachy_JB7.fa_02648,,,,,,,,,,,,,,,,,,
group_4209,,Putative conjugal transfer protein,9,9,1,1,3968,1,5177,,1232,1232,1232,Brachy_341_9.fa_00276,Brachy_738_10.fa_02524,Brachy_862_8.fa_00266,Brachy_876_9.fa_01123,Brachy_900_8.fa_02898,Brachy_908_11.fa_01929,Brachy_947_11.fa_01167,Brachy_962_10.fa_02001,Brachy_JB7.fa_02649,,,,,,,,,,,,,,,,,,
group_4210,,hypothetical protein,9,9,1,1,3967,1,5176,,1097,1097,1097,Brachy_341_9.fa_00277,Brachy_738_10.fa_02525,Brachy_862_8.fa_00265,Brachy_876_9.fa_01122,Brachy_900_8.fa_02897,Brachy_908_11.fa_01930,Brachy_947_11.fa_01166,Brachy_962_10.fa_02000,Brachy_JB7.fa_02650,,,,,,,,,,,,,,,,,,
group_4212,,hypothetical protein,9,9,1,1,3965,1,5174,,395,395,395,Brachy_341_9.fa_00279,Brachy_738_10.fa_02527,Brachy_862_8.fa_00263,Brachy_876_9.fa_00351,Brachy_900_8.fa_02895,Brachy_908_11.fa_01932,Brachy_947_11.fa_01164,Brachy_962_10.fa_01998,Brachy_JB7.fa_02652,,,,,,,,,,,,,,,,,,
rsmC_2,,Ribosomal RNA small subunit methyltransferase C,9,9,1,1,3962,1,5157,,1700,1700,1700,Brachy_341_9.fa_00282,Brachy_738_10.fa_02530,Brachy_862_8.fa_00260,Brachy_876_9.fa_00348,Brachy_900_8.fa_02892,Brachy_908_11.fa_01935,Brachy_947_11.fa_01161,Brachy_962_10.fa_01995,Brachy_JB7.fa_02655,,,,,,,,,,,,,,,,,,
topA,,DNA topoisomerase 1,9,9,1,1,3959,1,5155,,2705,2738,2727,Brachy_341_9.fa_00284,Brachy_738_10.fa_02532,Brachy_862_8.fa_00258,Brachy_876_9.fa_00346,Brachy_900_8.fa_02890,Brachy_908_11.fa_01937,Brachy_947_11.fa_01159,Brachy_962_10.fa_01993,Brachy_JB7.fa_01585,,,,,,,,,,,,,,,,,,
group_4216,,hypothetical protein,9,9,1,1,3958,1,5154,,1346,1346,1346,Brachy_341_9.fa_00285,Brachy_738_10.fa_02533,Brachy_862_8.fa_00257,Brachy_876_9.fa_00345,Brachy_900_8.fa_02889,Brachy_908_11.fa_01938,Brachy_947_11.fa_01158,Brachy_962_10.fa_01992,Brachy_JB7.fa_01584,,,,,,,,,,,,,,,,,,
araP_2,,L-arabinose transport system permease protein AraP,9,9,1,1,3957,1,5153,,1163,1172,1169,Brachy_341_9.fa_00286,Brachy_738_10.fa_02534,Brachy_862_8.fa_00256,Brachy_876_9.fa_00344,Brachy_900_8.fa_02888,Brachy_908_11.fa_01939,Brachy_947_11.fa_01157,Brachy_962_10.fa_01991,Brachy_JB7.fa_01583,,,,,,,,,,,,,,,,,,
group_4218,araQ_4,L-arabinose transport system permease protein AraQ,9,9,1,1,3956,1,5152,,854,854,854,Brachy_341_9.fa_00287,Brachy_738_10.fa_02535,Brachy_862_8.fa_00255,Brachy_876_9.fa_00343,Brachy_900_8.fa_02887,Brachy_908_11.fa_01940,Brachy_947_11.fa_01156,Brachy_962_10.fa_01990,Brachy_JB7.fa_01582,,,,,,,,,,,,,,,,,,
iolU_1,,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,9,9,1,1,3955,1,5151,,1076,1076,1076,Brachy_341_9.fa_00288,Brachy_738_10.fa_02536,Brachy_862_8.fa_00254,Brachy_876_9.fa_00342,Brachy_900_8.fa_02886,Brachy_908_11.fa_01941,Brachy_947_11.fa_01155,Brachy_962_10.fa_01989,Brachy_JB7.fa_01581,,,,,,,,,,,,,,,,,,
group_4220,tmk,Thymidylate kinase,9,9,1,1,3954,1,5150,,731,731,731,Brachy_341_9.fa_00289,Brachy_738_10.fa_02537,Brachy_862_8.fa_00253,Brachy_876_9.fa_00341,Brachy_900_8.fa_02885,Brachy_908_11.fa_01942,Brachy_947_11.fa_01154,Brachy_962_10.fa_01988,Brachy_JB7.fa_01580,,,,,,,,,,,,,,,,,,
group_4221,dnaX_1,DNA polymerase III subunit tau,9,9,1,1,3953,1,5149,,1223,1223,1223,Brachy_341_9.fa_00290,Brachy_738_10.fa_02538,Brachy_862_8.fa_00252,Brachy_876_9.fa_00340,Brachy_900_8.fa_02884,Brachy_908_11.fa_01943,Brachy_947_11.fa_01153,Brachy_962_10.fa_01987,Brachy_JB7.fa_01579,,,,,,,,,,,,,,,,,,
csp,,Cold shock-like protein,9,9,1,1,3951,1,5147,,386,386,386,Brachy_341_9.fa_00292,Brachy_738_10.fa_02540,Brachy_862_8.fa_00250,Brachy_876_9.fa_00338,Brachy_900_8.fa_02882,Brachy_908_11.fa_01945,Brachy_947_11.fa_01151,Brachy_962_10.fa_01985,Brachy_JB7.fa_01577,,,,,,,,,,,,,,,,,,
nudL,,putative Nudix hydrolase NudL,9,9,1,1,3950,1,5146,,701,701,701,Brachy_341_9.fa_00293,Brachy_738_10.fa_02541,Brachy_862_8.fa_00249,Brachy_876_9.fa_00337,Brachy_900_8.fa_02881,Brachy_908_11.fa_01946,Brachy_947_11.fa_01150,Brachy_962_10.fa_01984,Brachy_JB7.fa_01576,,,,,,,,,,,,,,,,,,
pdg,,Ultraviolet N-glycosylase/AP lyase,9,9,1,1,3949,1,5145,,692,692,692,Brachy_341_9.fa_00294,Brachy_738_10.fa_02542,Brachy_862_8.fa_00248,Brachy_876_9.fa_00336,Brachy_900_8.fa_02880,Brachy_908_11.fa_01947,Brachy_947_11.fa_01149,Brachy_962_10.fa_01983,Brachy_JB7.fa_01575,,,,,,,,,,,,,,,,,,
group_4225,crp,CRP-like cAMP-activated global transcriptional regulator,9,9,1,1,3948,1,5144,,677,677,677,Brachy_341_9.fa_00295,Brachy_738_10.fa_02543,Brachy_862_8.fa_00247,Brachy_876_9.fa_00335,Brachy_900_8.fa_02879,Brachy_908_11.fa_01948,Brachy_947_11.fa_01148,Brachy_962_10.fa_01982,Brachy_JB7.fa_01574,,,,,,,,,,,,,,,,,,
gloB,,Hydroxyacylglutathione hydrolase,9,9,1,1,3947,1,5143,,821,821,821,Brachy_341_9.fa_00296,Brachy_738_10.fa_02544,Brachy_862_8.fa_00246,Brachy_876_9.fa_00334,Brachy_900_8.fa_02878,Brachy_908_11.fa_01949,Brachy_947_11.fa_01147,Brachy_962_10.fa_01981,Brachy_JB7.fa_01573,,,,,,,,,,,,,,,,,,
group_4227,,hypothetical protein,9,9,1,1,3946,1,5142,,581,581,581,Brachy_341_9.fa_00297,Brachy_738_10.fa_02545,Brachy_862_8.fa_00245,Brachy_876_9.fa_00333,Brachy_900_8.fa_02877,Brachy_908_11.fa_01950,Brachy_947_11.fa_01146,Brachy_962_10.fa_01980,Brachy_JB7.fa_01572,,,,,,,,,,,,,,,,,,
group_4228,,hypothetical protein,9,9,1,1,3945,1,5141,,170,170,170,Brachy_341_9.fa_00298,Brachy_738_10.fa_02546,Brachy_862_8.fa_00244,Brachy_876_9.fa_00332,Brachy_900_8.fa_02876,Brachy_908_11.fa_01951,Brachy_947_11.fa_01145,Brachy_962_10.fa_01979,Brachy_JB7.fa_01571,,,,,,,,,,,,,,,,,,
whiB4,,Transcriptional regulator WhiB4,9,9,1,1,3944,1,5140,,302,302,302,Brachy_341_9.fa_00299,Brachy_738_10.fa_02547,Brachy_862_8.fa_00243,Brachy_876_9.fa_00331,Brachy_900_8.fa_02875,Brachy_908_11.fa_01952,Brachy_947_11.fa_01144,Brachy_962_10.fa_01978,Brachy_JB7.fa_01570,,,,,,,,,,,,,,,,,,
pbpF,,Penicillin-binding protein 1F,9,9,1,1,3943,1,5139,,2399,2399,2399,Brachy_341_9.fa_00300,Brachy_738_10.fa_02548,Brachy_862_8.fa_00242,Brachy_876_9.fa_00330,Brachy_900_8.fa_02874,Brachy_908_11.fa_01953,Brachy_947_11.fa_01143,Brachy_962_10.fa_01977,Brachy_JB7.fa_01569,,,,,,,,,,,,,,,,,,
ypbG_1,,putative protein YpbG,9,9,1,1,3942,1,5138,,938,938,938,Brachy_341_9.fa_00301,Brachy_738_10.fa_02549,Brachy_862_8.fa_00241,Brachy_876_9.fa_00329,Brachy_900_8.fa_02873,Brachy_908_11.fa_01954,Brachy_947_11.fa_01142,Brachy_962_10.fa_01976,Brachy_JB7.fa_01568,,,,,,,,,,,,,,,,,,
group_4232,,tRNA-Pro(cgg),9,9,1,1,3941,1,5137,,75,75,75,Brachy_341_9.fa_00302,Brachy_738_10.fa_02550,Brachy_862_8.fa_00240,Brachy_876_9.fa_00328,Brachy_900_8.fa_02872,Brachy_908_11.fa_01955,Brachy_947_11.fa_01141,Brachy_962_10.fa_01975,Brachy_JB7.fa_01567,,,,,,,,,,,,,,,,,,
iap_2,,putative endopeptidase p60,9,9,1,1,3940,1,5136,,1070,1070,1070,Brachy_341_9.fa_00303,Brachy_738_10.fa_02551,Brachy_862_8.fa_00239,Brachy_876_9.fa_00327,Brachy_900_8.fa_02871,Brachy_908_11.fa_01956,Brachy_947_11.fa_01140,Brachy_962_10.fa_01974,Brachy_JB7.fa_01566,,,,,,,,,,,,,,,,,,
exoI,,Beta-hexosaminidase,9,9,1,1,3939,1,5135,,1409,1409,1409,Brachy_341_9.fa_00304,Brachy_738_10.fa_02552,Brachy_862_8.fa_00238,Brachy_876_9.fa_00326,Brachy_900_8.fa_02870,Brachy_908_11.fa_01957,Brachy_947_11.fa_01139,Brachy_962_10.fa_01973,Brachy_JB7.fa_01565,,,,,,,,,,,,,,,,,,
group_4235,,hypothetical protein,9,9,1,1,3938,1,5134,,620,620,620,Brachy_341_9.fa_00305,Brachy_738_10.fa_02553,Brachy_862_8.fa_00237,Brachy_876_9.fa_00325,Brachy_900_8.fa_02869,Brachy_908_11.fa_01958,Brachy_947_11.fa_01138,Brachy_962_10.fa_01972,Brachy_JB7.fa_01564,,,,,,,,,,,,,,,,,,
group_4236,,hypothetical protein,9,9,1,1,3937,1,5133,,1952,1952,1952,Brachy_341_9.fa_00306,Brachy_738_10.fa_02554,Brachy_862_8.fa_00236,Brachy_876_9.fa_00324,Brachy_900_8.fa_02868,Brachy_908_11.fa_01959,Brachy_947_11.fa_01137,Brachy_962_10.fa_01971,Brachy_JB7.fa_01563,,,,,,,,,,,,,,,,,,
group_4237,,hypothetical protein,9,9,1,1,3934,1,5130,,1259,1259,1259,Brachy_341_9.fa_00310,Brachy_738_10.fa_02558,Brachy_862_8.fa_00232,Brachy_876_9.fa_00320,Brachy_900_8.fa_02864,Brachy_908_11.fa_01963,Brachy_947_11.fa_01133,Brachy_962_10.fa_01967,Brachy_JB7.fa_01559,,,,,,,,,,,,,,,,,,
yusV_1,,putative siderophore transport system ATP-binding protein YusV,9,9,1,1,3933,1,5129,,1856,1856,1856,Brachy_341_9.fa_00311,Brachy_738_10.fa_02559,Brachy_862_8.fa_00231,Brachy_876_9.fa_00319,Brachy_900_8.fa_02863,Brachy_908_11.fa_01964,Brachy_947_11.fa_01132,Brachy_962_10.fa_01966,Brachy_JB7.fa_01558,,,,,,,,,,,,,,,,,,
group_4239,ispD_3,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,9,9,1,1,3932,1,5128,,686,686,686,Brachy_341_9.fa_00312,Brachy_738_10.fa_02560,Brachy_862_8.fa_00230,Brachy_876_9.fa_00318,Brachy_900_8.fa_02862,Brachy_908_11.fa_01965,Brachy_947_11.fa_01131,Brachy_962_10.fa_01965,Brachy_JB7.fa_01557,,,,,,,,,,,,,,,,,,
baiA1,,3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 1/3,9,9,1,1,3931,1,5127,,707,707,707,Brachy_341_9.fa_00313,Brachy_738_10.fa_02561,Brachy_862_8.fa_00229,Brachy_876_9.fa_00317,Brachy_900_8.fa_02861,Brachy_908_11.fa_01966,Brachy_947_11.fa_01130,Brachy_962_10.fa_01964,Brachy_JB7.fa_01556,,,,,,,,,,,,,,,,,,
nepI_1,,Purine ribonucleoside efflux pump NepI,9,9,1,1,6614,1,7256,,1214,1214,1214,Brachy_341_9.fa_00323,Brachy_738_10.fa_00380,Brachy_862_8.fa_03088,Brachy_876_9.fa_00734,Brachy_900_8.fa_03205,Brachy_908_11.fa_01244,Brachy_947_11.fa_02662,Brachy_962_10.fa_02552,Brachy_JB7.fa_02662,,,,,,,,,,,,,,,,,,
ptsH_2,,Phosphocarrier protein HPr,9,9,1,1,6615,1,7257,,272,272,272,Brachy_341_9.fa_00324,Brachy_738_10.fa_00381,Brachy_862_8.fa_03087,Brachy_876_9.fa_00733,Brachy_900_8.fa_03204,Brachy_908_11.fa_01243,Brachy_947_11.fa_02661,Brachy_962_10.fa_02551,Brachy_JB7.fa_02661,,,,,,,,,,,,,,,,,,
fabR,,HTH-type transcriptional repressor FabR,9,9,1,1,6616,1,7258,,677,677,677,Brachy_341_9.fa_00325,Brachy_738_10.fa_00382,Brachy_862_8.fa_03086,Brachy_876_9.fa_00732,Brachy_900_8.fa_03203,Brachy_908_11.fa_01242,Brachy_947_11.fa_02660,Brachy_962_10.fa_02550,Brachy_JB7.fa_02660,,,,,,,,,,,,,,,,,,
group_4251,ylmB,N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase,9,9,1,1,6617,1,7259,,1361,1361,1361,Brachy_341_9.fa_00326,Brachy_738_10.fa_00383,Brachy_862_8.fa_03085,Brachy_876_9.fa_00731,Brachy_900_8.fa_03202,Brachy_908_11.fa_01241,Brachy_947_11.fa_02659,Brachy_962_10.fa_02549,Brachy_JB7.fa_02659,,,,,,,,,,,,,,,,,,
dps,,DNA protection during starvation protein,9,9,1,1,6618,1,7260,,491,491,491,Brachy_341_9.fa_00327,Brachy_738_10.fa_00384,Brachy_862_8.fa_03084,Brachy_876_9.fa_00730,Brachy_900_8.fa_03201,Brachy_908_11.fa_01240,Brachy_947_11.fa_02658,Brachy_962_10.fa_02548,Brachy_JB7.fa_02658,,,,,,,,,,,,,,,,,,
group_4253,,hypothetical protein,9,9,1,1,6619,1,7261,,872,872,872,Brachy_341_9.fa_00328,Brachy_738_10.fa_00385,Brachy_862_8.fa_03083,Brachy_876_9.fa_00729,Brachy_900_8.fa_03200,Brachy_908_11.fa_01239,Brachy_947_11.fa_02657,Brachy_962_10.fa_02547,Brachy_JB7.fa_02657,,,,,,,,,,,,,,,,,,
group_4254,,putative SufE-like protein,9,9,1,1,6621,1,7263,,446,446,446,Brachy_341_9.fa_00330,Brachy_738_10.fa_00387,Brachy_862_8.fa_03081,Brachy_876_9.fa_00727,Brachy_900_8.fa_03198,Brachy_908_11.fa_01237,Brachy_947_11.fa_02655,Brachy_962_10.fa_02545,Brachy_JB7.fa_01539,,,,,,,,,,,,,,,,,,
group_4255,sseA,Putative thiosulfate sulfurtransferase SseA,9,9,1,1,6622,1,7264,,905,905,905,Brachy_341_9.fa_00331,Brachy_738_10.fa_00388,Brachy_862_8.fa_03080,Brachy_876_9.fa_00726,Brachy_900_8.fa_03197,Brachy_908_11.fa_01236,Brachy_947_11.fa_02654,Brachy_962_10.fa_02544,Brachy_JB7.fa_01538,,,,,,,,,,,,,,,,,,
group_4256,suhB_1,"Fructose-1,6-bisphosphatase/inositol-1-monophosphatase",9,9,1,1,6624,1,7266,,1211,1211,1211,Brachy_341_9.fa_00333,Brachy_738_10.fa_00390,Brachy_862_8.fa_03078,Brachy_876_9.fa_00724,Brachy_900_8.fa_03195,Brachy_908_11.fa_01234,Brachy_947_11.fa_02652,Brachy_962_10.fa_02542,Brachy_JB7.fa_01536,,,,,,,,,,,,,,,,,,
group_4257,,hypothetical protein,9,9,1,1,6626,1,7268,,743,743,743,Brachy_341_9.fa_00335,Brachy_738_10.fa_00392,Brachy_862_8.fa_03076,Brachy_876_9.fa_00722,Brachy_900_8.fa_03193,Brachy_908_11.fa_01232,Brachy_947_11.fa_02650,Brachy_962_10.fa_02540,Brachy_JB7.fa_01534,,,,,,,,,,,,,,,,,,
rlmC,,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,9,9,1,1,6627,1,7269,,1250,1259,1258,Brachy_341_9.fa_00336,Brachy_738_10.fa_00393,Brachy_862_8.fa_03075,Brachy_876_9.fa_00721,Brachy_900_8.fa_03192,Brachy_908_11.fa_01231,Brachy_947_11.fa_02649,Brachy_962_10.fa_02539,Brachy_JB7.fa_01533,,,,,,,,,,,,,,,,,,
group_4259,,hypothetical protein,9,9,1,1,6631,1,7273,,545,545,545,Brachy_341_9.fa_00340,Brachy_738_10.fa_00397,Brachy_862_8.fa_03071,Brachy_876_9.fa_00717,Brachy_900_8.fa_03188,Brachy_908_11.fa_01227,Brachy_947_11.fa_03244,Brachy_962_10.fa_02535,Brachy_JB7.fa_01529,,,,,,,,,,,,,,,,,,
group_4260,,hypothetical protein,9,9,1,1,6632,1,7274,,2573,2573,2573,Brachy_341_9.fa_00341,Brachy_738_10.fa_00398,Brachy_862_8.fa_03070,Brachy_876_9.fa_00716,Brachy_900_8.fa_03187,Brachy_908_11.fa_01226,Brachy_947_11.fa_03245,Brachy_962_10.fa_02534,Brachy_JB7.fa_01528,,,,,,,,,,,,,,,,,,
group_4261,,hypothetical protein,9,9,1,1,6635,1,7277,,653,653,653,Brachy_341_9.fa_00344,Brachy_738_10.fa_00401,Brachy_862_8.fa_03067,Brachy_876_9.fa_00713,Brachy_900_8.fa_03184,Brachy_908_11.fa_01223,Brachy_947_11.fa_03248,Brachy_962_10.fa_02531,Brachy_JB7.fa_00116,,,,,,,,,,,,,,,,,,
ectP,,Ectoine/glycine betaine/proline transporter EctP,9,9,1,1,6637,1,7279,,1799,1799,1799,Brachy_341_9.fa_00346,Brachy_738_10.fa_00403,Brachy_862_8.fa_03065,Brachy_876_9.fa_00711,Brachy_900_8.fa_03182,Brachy_908_11.fa_01221,Brachy_947_11.fa_03250,Brachy_962_10.fa_02529,Brachy_JB7.fa_00118,,,,,,,,,,,,,,,,,,
gshA,,Glutamate--cysteine ligase,9,9,1,1,6639,1,7281,,1505,1505,1505,Brachy_341_9.fa_00348,Brachy_738_10.fa_00405,Brachy_862_8.fa_03063,Brachy_876_9.fa_00709,Brachy_900_8.fa_03180,Brachy_908_11.fa_01219,Brachy_947_11.fa_03252,Brachy_962_10.fa_02527,Brachy_JB7.fa_00120,,,,,,,,,,,,,,,,,,
yhjX,,putative MFS-type transporter YhjX,9,9,1,1,6641,1,7284,,1571,1571,1571,Brachy_341_9.fa_00350,Brachy_738_10.fa_00407,Brachy_862_8.fa_03061,Brachy_876_9.fa_00707,Brachy_900_8.fa_03177,Brachy_908_11.fa_01217,Brachy_947_11.fa_03254,Brachy_962_10.fa_02525,Brachy_JB7.fa_00122,,,,,,,,,,,,,,,,,,
group_4270,,hypothetical protein,9,9,1,1,6650,1,7292,,686,686,686,Brachy_341_9.fa_00358,Brachy_738_10.fa_00410,Brachy_862_8.fa_03058,Brachy_876_9.fa_00699,Brachy_900_8.fa_03169,Brachy_908_11.fa_01209,Brachy_947_11.fa_03262,Brachy_962_10.fa_02517,Brachy_JB7.fa_00130,,,,,,,,,,,,,,,,,,
nadA,,Quinolinate synthase A,9,9,1,1,6652,1,7294,,1346,1346,1346,Brachy_341_9.fa_00359,Brachy_738_10.fa_00411,Brachy_862_8.fa_03057,Brachy_876_9.fa_00698,Brachy_900_8.fa_03168,Brachy_908_11.fa_01208,Brachy_947_11.fa_03263,Brachy_962_10.fa_02516,Brachy_JB7.fa_00131,,,,,,,,,,,,,,,,,,
iscS_2,,Cysteine desulfurase IscS,9,9,1,1,6655,1,7297,,1145,1145,1145,Brachy_341_9.fa_00362,Brachy_738_10.fa_00414,Brachy_862_8.fa_03054,Brachy_876_9.fa_00695,Brachy_900_8.fa_03165,Brachy_908_11.fa_01205,Brachy_947_11.fa_03266,Brachy_962_10.fa_02513,Brachy_JB7.fa_02156,,,,,,,,,,,,,,,,,,
hddC,,D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase,9,9,1,1,6657,1,7299,,833,833,833,Brachy_341_9.fa_00364,Brachy_738_10.fa_00416,Brachy_862_8.fa_03052,Brachy_876_9.fa_00693,Brachy_900_8.fa_03163,Brachy_908_11.fa_01203,Brachy_947_11.fa_03268,Brachy_962_10.fa_02511,Brachy_JB7.fa_02154,,,,,,,,,,,,,,,,,,
galK_3,,Galactokinase,9,9,1,1,6658,1,7300,,1316,1316,1316,Brachy_341_9.fa_00365,Brachy_738_10.fa_00417,Brachy_862_8.fa_03051,Brachy_876_9.fa_00692,Brachy_900_8.fa_03162,Brachy_908_11.fa_01202,Brachy_947_11.fa_03269,Brachy_962_10.fa_02510,Brachy_JB7.fa_02153,,,,,,,,,,,,,,,,,,
group_4275,,hypothetical protein,9,9,1,1,6659,1,7301,,881,881,881,Brachy_341_9.fa_00366,Brachy_738_10.fa_00418,Brachy_862_8.fa_03050,Brachy_876_9.fa_00691,Brachy_900_8.fa_03161,Brachy_908_11.fa_01201,Brachy_947_11.fa_03270,Brachy_962_10.fa_02509,Brachy_JB7.fa_02152,,,,,,,,,,,,,,,,,,
