KO	gene	genome	locus_tag	ftype	bp	EC.x	COG	product	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full	com
K07667	kdpE	Brevi_738_8.fa	MCCDGJGB_01237	CDS	681		COG0745	Transcriptional regulatory protein KdpE	Cellular processes	Cellular community- prokaryotes	Quorum sensing	kdpE	two-componentsystem,OmpRfamily,KDPoperonresponseregulatorKdpE	NA	NA	NA	kdpE; two-component system, OmpR family, KDP operon response regulator KdpE	Com_738
K07667	kdpE	Brevi_738_8.fa	MCCDGJGB_01237	CDS	681		COG0745	Transcriptional regulatory protein KdpE	Environmental information processing	Signal transduction	Two-component system	kdpE	two-componentsystem,OmpRfamily,KDPoperonresponseregulatorKdpE	NA	NA	NA	kdpE; two-component system, OmpR family, KDP operon response regulator KdpE	Com_738
K07667	kdpE	Brevi_738_8.fa	MCCDGJGB_01237	CDS	681		COG0745	Transcriptional regulatory protein KdpE	Cellular processes	Cellular community- prokaryotes	Quorum sensing	kdpE	two-componentsystem,OmpRfamily,KDPoperonresponseregulatorKdpE	NA	NA	NA	kdpE; two-component system, OmpR family, KDP operon response regulator KdpE	Com_738
K07667	kdpE	Brevi_738_8.fa	MCCDGJGB_01237	CDS	681		COG0745	Transcriptional regulatory protein KdpE	Environmental information processing	Signal transduction	Two-component system	kdpE	two-componentsystem,OmpRfamily,KDPoperonresponseregulatorKdpE	NA	NA	NA	kdpE; two-component system, OmpR family, KDP operon response regulator KdpE	Com_738
K07667	kdpE	Brevi_738_8.fa	MCCDGJGB_01237	CDS	681		COG0745	Transcriptional regulatory protein KdpE	Cellular processes	Cellular community- prokaryotes	Quorum sensing	kdpE	two-componentsystem,OmpRfamily,KDPoperonresponseregulatorKdpE	NA	NA	NA	kdpE; two-component system, OmpR family, KDP operon response regulator KdpE	Com_738
K07667	kdpE	Brevi_738_8.fa	MCCDGJGB_01237	CDS	681		COG0745	Transcriptional regulatory protein KdpE	Environmental information processing	Signal transduction	Two-component system	kdpE	two-componentsystem,OmpRfamily,KDPoperonresponseregulatorKdpE	NA	NA	NA	kdpE; two-component system, OmpR family, KDP operon response regulator KdpE	Com_738
K09471	puuB	Brevi_908_7.fa	EBMLHIBA_01728	CDS	1455	1.4.3.-		Gamma-glutamylputrescine oxidoreductase	Metabolism	Amino acid metabolism	Arginine and proline metabolism	puuB,ordL	gamma-glutamylputrescineoxidase	1.4.3.-	NA	NA	puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]	Com_738
K09482	gatD	SEQ_738_7	BGMKIKPO_02988	CDS	1035	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase	Genetic information processing	Translation	Aminoacyl-tRNA biosynthesis	gatD	glutamyl-tRNA(Gln)amidotransferasesubunitD	6.3.5.7	NA	NA	gatD; glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]	Com_738
K12240	pchF	Brevi_738_8.fa	MCCDGJGB_00575	CDS	1563	1.17.99.1		4-cresol dehydrogenase [hydroxylating] flavoprotein subunit	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	pchF	pyochelinsynthetase	NA	NA	NA	pchF; pyochelin synthetase	Com_738
K12240	pchF	Brevi_738_8.fa	MCCDGJGB_00575	CDS	1563	1.17.99.1		4-cresol dehydrogenase [hydroxylating] flavoprotein subunit	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	pchF	pyochelinsynthetase	NA	NA	NA	pchF; pyochelin synthetase	Com_738
K13075	Y2-aiiA	Brevi_738_8.fa	MCCDGJGB_00567	CDS	873	3.1.1.81		N-acyl homoserine lactonase	Cellular processes	Cellular community- prokaryotes	Quorum sensing	ahlD,aiiA,attM,blcC	N-acylhomoserinelactonehydrolase	3.1.1.81	NA	NA	ahlD, aiiA, attM, blcC; N-acyl homoserine lactone hydrolase [EC:3.1.1.81]	Com_738
K15240	linE	Brevi_738_8.fa	MCCDGJGB_00582	CDS	960	1.13.11.66		Chlorohydroquinone/hydroquinone 1,2-dioxygenase	Metabolism	Xenobiotics biodegration and metabolism	Chlorocyclohexane and chlorobenzene  degradation	linE	hydroquinone1,2-dioxygenase	1.13.11.66	NA	NA	linE; hydroquinone 1,2-dioxygenase [EC:1.13.11.66]	Com_738
K18276	hspB	Brevi_738_8.fa	MCCDGJGB_00576	CDS	1209	1.14.13.163	COG0654	6-hydroxy-3-succinoylpyridine 3-monooxygenase HspB	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	hspB	6-hydroxy-3-succinoylpyridine3-monooxygenase	1.14.13.163	NA	NA	hspB; 6-hydroxy-3-succinoylpyridine 3-monooxygenase [EC:1.14.13.163]	Com_738
K19630	tsaC1	Brevi_738_8.fa	MCCDGJGB_00558	CDS	765	1.2.1.62		4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2	Metabolism	Xenobiotics biodegration and metabolism	Toluene degradation	tsaC1	4-formylbenzenesulfonatedehydrogenase	1.2.1.62	NA	NA	tsaC1; 4-formylbenzenesulfonate dehydrogenase [EC:1.2.1.62]	Com_738
K21681	bcs1	Brevi_738_8.fa	MCCDGJGB_03640	CDS	1425			Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	bcs1	ribitol-5-phosphate2-dehydrogenase(NADP+)/D-ribitol-5-phosphatecytidylyltransferase	1.1.1.405	2.7.7.40	NA	bcs1; ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]	Com_738
